,Author,Date,Firm,Strategist,Stock Allocation %,2009 Close,2009 EPS,2010 Close,2010 EPS,Reweighted Allocation
226,Lynn Thomasson and Matt Townsend,2009-05-04,HSBC,Kevin Gardiner,,900.0,,,,
227,Lynn Thomasson and Matt Townsend,2009-05-04,JPMorgan,Thomas Lee,,1100.0,57.0,,,
228,Lynn Thomasson and Matt Townsend,2009-05-04,Morgan Stanley,Jason Todd,,825.0,40.0,,,
229,Lynn Thomasson and Matt Townsend,2009-05-04,RBC,Myles Zyblock,,1050.0,55.0,,,
230,Lynn Thomasson and Matt Townsend,2009-05-04,UBS,David Bianco,,1100.0,51.0,,,
231,Lynn Thomasson,2009-05-05,Barclays,Barry Knapp,,757.0,41.0,,,
232,Lynn Thomasson,2009-05-05,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
233,Lynn Thomasson,2009-05-05,Credit Suisse,Andrew Garthwaite,,920.0,49.0,,,
234,Lynn Thomasson,2009-05-05,Deutsche Bank,Binky Chadha,,900.0,39.5,,,
235,Lynn Thomasson,2009-05-05,Goldman Sachs,David Kostin,,940.0,40.0,,,
236,Lynn Thomasson,2009-05-05,HSBC,Kevin Gardiner,,900.0,,,,
237,Lynn Thomasson,2009-05-05,JPMorgan,Thomas Lee,,1100.0,57.0,,,
238,Lynn Thomasson,2009-05-05,Morgan Stanley,Jason Todd,,825.0,40.0,,,
239,Lynn Thomasson,2009-05-05,RBC,Myles Zyblock,,1050.0,55.0,,,
240,Lynn Thomasson,2009-05-05,UBS,David Bianco,,1100.0,51.0,,,
241,Lynn Thomasson,2009-05-11,Barclays,Barry Knapp,,757.0,41.0,,,
242,Lynn Thomasson,2009-05-11,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
243,Lynn Thomasson,2009-05-11,Credit Suisse,Andrew Garthwaite,,920.0,49.0,,,
244,Lynn Thomasson,2009-05-11,Deutsche Bank,Binky Chadha,,900.0,39.5,,,
245,Lynn Thomasson,2009-05-11,Goldman Sachs,David Kostin,,940.0,40.0,,,
246,Lynn Thomasson,2009-05-11,HSBC,Kevin Gardiner,,900.0,,,,
247,Lynn Thomasson,2009-05-11,JPMorgan,Thomas Lee,,1100.0,57.0,,,
248,Lynn Thomasson,2009-05-11,Morgan Stanley,Jason Todd,,825.0,40.0,,,
249,Lynn Thomasson,2009-05-11,RBC,Myles Zyblock,,1050.0,55.0,,,
250,Lynn Thomasson,2009-05-11,UBS,David Bianco,,1100.0,51.0,,,
251,Matt Townsend,2009-05-18,Bank of America,,50.0,,,,,50.0
252,Matt Townsend,2009-05-18,Barclays,Barry Knapp,,757.0,41.0,,,
253,Matt Townsend,2009-05-18,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
254,Matt Townsend,2009-05-18,Credit Suisse,Andrew Garthwaite,61.0,920.0,49.0,,,61.0
255,Matt Townsend,2009-05-18,Deutsche Bank,Binky Chadha,60.0,900.0,39.5,,,60.0
256,Matt Townsend,2009-05-18,Goldman Sachs,David Kostin,,940.0,40.0,,,
257,Matt Townsend,2009-05-18,HSBC,Kevin Gardiner,27.9,900.0,,,,28.0
258,Matt Townsend,2009-05-18,JPMorgan,Thomas Lee,60.0,1100.0,57.0,,,60.0
259,Matt Townsend,2009-05-18,Morgan Stanley,Jason Todd,,825.0,40.0,,,
260,Matt Townsend,2009-05-18,RBC,Myles Zyblock,50.0,1050.0,55.0,,,50.0
261,Matt Townsend,2009-05-18,UBS,David Bianco,50.0,1100.0,51.0,,,57.0
262,Matt Townsend,2009-05-26,BMO,Ben Joyce,60.0,900.0,51.0,,,60.0
263,Matt Townsend,2009-05-26,Barclays,Barry Knapp,,757.0,41.0,,,
264,Matt Townsend,2009-05-26,Citigroup,Tobias Levkovich,,1000.0,51.0,,,
265,Matt Townsend,2009-05-26,Credit Suisse,Andrew Garthwaite,61.0,920.0,49.0,,,61.0
266,Matt Townsend,2009-05-26,Deutsche Bank,Binky Chadha,60.0,900.0,39.5,,,60.0
267,Matt Townsend,2009-05-26,Goldman Sachs,David Kostin,,940.0,40.0,,,
268,Matt Townsend,2009-05-26,HSBC,Kevin Gardiner,27.9,900.0,,,,28.0
269,Matt Townsend,2009-05-26,JPMorgan,Thomas Lee,60.0,1100.0,57.0,,,60.0
270,Matt Townsend,2009-05-26,Morgan Stanley,Jason Todd,,825.0,40.0,,,
